,category,company,details,experience,industry,location,salary,title
21,"Engineering, Information Technology",Open Systems Technologies,"
A financial services, data and multiformat media company, highly respected in the market for its leading data, managed services, analytics and equity trading platforms, is looking for a Senior Software Engineer in New York.
You will be specialized in Artificial Intelligence solutions, developing solutions within a large-scale, low-latency information pipeline.
Role:

Write and test code for the production environment
Deliver high-quality features within the information pipeline and to downstream services, including client-facing services

Profile:

5+ years’ experience in software development
Bachelor’s degree in Computer Science, Engineering or similar
Experience building large systems
Experience with distributed systems design and development
Strong coding skills with C++, Python or Java
Experience building Machine Learning applications is a strong advantage
Previous experience with NLP solutions is a strong plus
Job category: Information Technology
Job keywords:

NLP, C++, Python, Java, Developer, Artificial Intelligence

USA
",5+ years,Other Great Industries,"New York, NY",NA,AI Engineer
22,Information Technology,Access Staffing LLC,"

Data Scientist- Texas- Contract only!!!
Duration- 6 months with possible extension
Essential

Master’s Degree in Computer Science, Statistics, Applied Math or related field (Engineering or Science background)
Experience of coding in Python or R
Extensive background in data mining and statistical analysis
Ability to understand various data structures and common methods in data transformation
Machine Learning and algorithm development experience
Passionate about data visualisation and insight.
Experience in the implementation and customisation of visualisation tools (PowerBI, Tableau, Spotfire)
Experience of data science application within Finance departments/businesses

If interested, please contact Jasmyn at 646 307 8973.
Job Type: Contract



",NA,Consulting,"Houston, TX","$0.00 - $75,000.00 /Year",AI Engineer
23,Information Technology,"V-Soft Consulting Group, Inc.","
Data Science Software Engineer
Primary Location – San Francisco, CA

V-Soft Consulting is an end-to-end recruiting and staffing solution provider known for our ability to provide highly qualified consultants for any project at any scale.
What makes us different? Our expertise is derived from over 20 years of delivering world-class IT staffing, consulting, engineering and managed services to Fortune 1000 and mid-market companies in the U.S., Canada, and Asia. V-Soft is a trusted partner with experience across diverse technology stacks to help business get IT done.
Like what you hear? Apply with V-Soft today!

V-Soft Consulting is currently hiring for a Data Science Software Engineer for our premier client in San Francisco, CA. This is a 5-month contract position in the manufacturing industry.

WHAT YOU’LL NEED:
Technical Requirements and Certifications »

Proficient in scripting languages with preference given to Python
Java
Java Virtual Machine (JVM)
NoSQL
Scripting
IaaS


Education and Experience »

A Bachelor’s Degree in Computer Science (or related fields) or equivalent experience
5+ years of experience in Java development and/or JVM-based languages
5+ years of experience writing and using SQL
3+ years of experience with NoSQL data storage systems and technologies, preferably with Cassandra and Hadoop
2+ years of experience in data processing and/or stream processing technologies like Flink, Beam, etc.
Experience using and converting scientific or otherwise abstract algorithms and processes into high performance implementations, preferably with Java and JVM languages
Experience with testing, packaging and releasing JVM code
Experience with IaaS, preferably with GCP and AWS
Experience building or maintaining ETL systems
Experience with Docker


WHAT YOU’LL DO:
Job Responsibilities »

Provide architectural guidance, release new features, and maintain existing features to support our client’s growing data processing and analytics needs
Grow data expertise and own data quality for the pipelines you build
Design, build and release efficient and reliable data pipelines to move data
Design and develop new systems and tools to enable team members to consume and understand data
Work in cross-functional teams in a high-visibility role, and own solutions end-to-end


Interested?
Qualified candidates should send their resumes to [Click Here to Email Your Resumé]


WHAT YOU’LL NEED:
Technical Requirements and Certifications »

Proficient in scripting languages with preference given to Python
Java
Java Virtual Machine (JVM)
NoSQL
Scripting
IaaS


Education and Experience »

A Bachelor’s Degree in Computer Science (or related fields) or equivalent experience
5+ years of experience in Java development and/or JVM-based languages
5+ years of experience writing and using SQL
3+ years of experience with NoSQL data storage systems and technologies, preferably with Cassandra and Hadoop
2+ years of experience in data processing and/or stream processing technologies like Flink, Beam, etc.
Experience using and converting scientific or otherwise abstract algorithms and processes into high performance implementations, preferably with Java and JVM languages
Experience with testing, packaging and releasing JVM code
Experience with IaaS, preferably with GCP and AWS
Experience building or maintaining ETL systems
Experience with Docker

",5+ years,Manufacturing,"San Francisco, CA",NA,AI Engineer
24,Information Technology,Strategic Staffing Solutions,"
JobID: 135610Data Scientist (Customer Experience Strategy) Location: Charlotte, NC*2 OPENINGS* Contract Opportunity! W2 Only—Must Be Authorized to Work for Any US Employer— NO C2C or 3rd Party AgenciesMore details listed below! If you're not available or interested, but know someone who might be, please provide them a copy of this job post-- we pay referral bonuses!To apply, send resume in a Microsoft Document to, Jamie Newkirk, Sourcing Specialist. Reference JO#: 135610! Job Details:            The Data Scientist will be responsible for business consulting activities for the Customer Experience Strategy and Analytics team to monitor and assist in improving customer experience. Working knowledge of statistics, programming and predictive modeling and code writing is essential for this role.Minimum Skills/Education:  Work experience in addition to degree: 1-3 years. Graduation from a four-year college or university with a degree in statistics, physics, mathematics, engineering, computer science, or management of information systems. Expert knowledge of SAS, Python or R
Responsibilities:  Serve as an expert in translating complex data into key strategy insights and valuable actions. Discover business narratives told by the data and present them to other scientists, business stakeholders, and managers at various levels. Develop and test heuristics. Create and run models.
Desired Education, Training and/or Experience: Strong critical thinking skills and the ability to relate them to the products or services the company is producing. Understanding of and ability to use SQL (Structured Query Language). Understanding of and ability to use visualization tools.   Power BI preferred.  Tableau, Qlik or Microstrategy also acceptable. Data mining knowledge that spans a range of disciplines. Excellent verbal and written communication skills as well as the ability to bridge the gap between data science and business management.
Not available but know someone with your similar experience….$$ WE OFFER A REFERRAL FEE FOR ANYONE REFERRED & HIRED WITH S3! $$
",1-3 years,Other Great Industries,"400 S TryonCharlotte, NC 28202",NA,AI Engineer
25,Other,"Integrated Resources, Inc","
Job Title: Machine Learning AI Engineer
Duration: 6+ Months
Location: Bellevue, WA


 
Job Description:
◦Design and implement our next generation Machine Learning AI cloud service and ecosystem that are secure and reliable at large scale.
◦Architect, design, and optimize Cloud AI platform frameworks
◦Design, clouderize, and develop innovative ML/DL/Graph analytics engines
◦Work with collaborating teams and provide technical assistance
◦Implement and benchmark large enterprise analytics systems
◦Profile and improve the performance of existing AI platforms and applications
◦Deliver rapidly iterative new design and/or new technology POC as well as service releases.




Desired Skills and Experience
◦5+ year experience in C/C++/Java
◦3+ year experience in machine learning/deep learning/graph mining
◦2+ year experience in knowledge graph engine and inference
◦2+ year experience in AI frameworks or Cloud platforms
◦1+ year experience in computer vision
◦1+ year experience in information visualization and HCI
◦BS or higher degree in computer science or a related field.
◦Experience in HPC/GPU/FPGA and distributed computing system is plus
◦Experience in open source big data ecosystem is a plus
◦Experience in working in a distributed team environment is a plus
",5+ year,Other Great Industries,"Bellevue, WA",NA,AI Engineer
26,Engineering,Amazon.com,"
Amazon Web Services (AWS) is looking for an AI Specialist Solutions Architect (AI SA) with a passion for architecting solutions that accelerate our customers' ability to innovate by leveraging AWS’ AI stack. You will be a specialized member of a team of practitioners and researchers who are obsessed with understanding the needs of our customers and have the skills to partner with them to build next generation intelligent, scalable, secure, and cost-effective solutions. Our goal is to double our customers’ inventiveness by doubling the number of experiments they can run (Jeff Bezos).   As an AI SA you will focus on incorporating intelligence into our customers’ next generation of products and services through the layers of the AI stack: Frameworks and Infrastructure with tools like Apache MXNet and TensorFlow, API-driven services like Amazon Lex, Amazon Polly and Amazon Rekognition to quickly add intelligence to applications, and Machine Learning platforms such as Amazon Machine Learning and Apache Spark ML on EMR for data scientists.  Roles & Responsibilities
Work with customer’s AI team to deeply understand their business and technical needs and design AI solutions that make the best use of the AWS Cloud platform and AI Services.
Understand and anticipate our customers business needs and accelerate their ability to innovate by building working prototypes or POCs.
Drive the collective mindshare of the developer, data scientist, and technologist communities through forums such as AWS blogs, whitepapers, reference architectures and public-speaking events such as AWS Summit, AWS re:Invent, etc.
Act as a technical liaison between customers and the service engineering teams and lead in evolving the AWS platform.
Develop and support an AWS internal community of AI related subject matter experts.
Position requires travel -- generally, between 0 - 50%

 aws-solarch-na


Basic Qualifications


Strong understanding and experience in the field of AI, Machine Learning, Deep Learning and related technologies.
Deep experience developing AI models in real-world environments and integrating AI/ML and other AWS services into large-scale production applications.
2+ years design/implementation/consulting experience building cloud solutions using AWS.
5+ years professional experience in software development in languages like Java, Python, Scala. Experience working with RESTful API and general service oriented architectures.



Preferred Qualifications


Data science background and experience manipulating/transforming data, model selection, model training, cross-validation and deployment at scale.
Experience with Machine and Deep Learning toolkits such as MXNet, TensorFlow, Caffe and Torch.
Experience with AWS services related to AI/ML highly desirable, particularly Amazon EMR, AWS Lambda, Machine Learning, IoT, Amazon DynamoDB, Amazon S3, Amazon EC2 Container Service, Green Grass etc.
A talent for being able to influence and build mindshare convincingly with any audience. Confident and experienced in public speaking to large audiences.
Presentation and communication skills with a high degree of comfort speaking with executives, IT management, and engineers.
Demonstrated ability to adapt to new technologies and learn quickly
Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation. Amazon Web Services is hiring. For more information: http://www.amazon.jobsaws-solarch-na

",2+ years,Other Great Industries,"Irvine, CA",NA,AI Engineer
27,Information Technology,Strategic Staffing Solutions,"
JobID: 136363Artificial Intelligence (AI) Platform Engineer  Location: Charlotte, NC6+ Month Contract Opportunity! W2 Only—Must Be Authorized to Work for Any US Employer— NO C2C or 3rd Party AgenciesMore details listed below! If you're not available or interested, but know someone who might be, please provide them a copy of this job post-- we pay referral bonuses!To apply, send resume in a Microsoft Document to, Jamie Newkirk, Sourcing Specialist. Reference JO#: 136363! Job Details:            Platform Engineering Activities must have advanced expert level Unix/Linux expertise (sys admin, light storage knowledge, light networking knowledge, etc.) at least 10 years of experience.Minimum Skills/Education: Experience in IBM LSF or EGO, 6 + months of experience will be beneficial Parallel/Distributed computing background (e.g. SMP, MPP, clusters, etc) 3 + years of experience Install and configure Apache HTTP web server. Configure software Configure security, must have experience in SSL configuration, LDAP setup, Active Directory integration Setup monitoring/instrumentation Participate in Operational Readiness activities. Testing (not limited to the following items):	 Conduct basic testing of environment Support any application POC Support application testing Support load testing  
 Post -Production Support	 Ongoing production support of environments Support SLAs defined Be on-call and on rotation Ensure uptime of environments Participate in BCP/DR Testing Support application enhancements Participate in meetings as required by application, infrastructure teams  
Not available but know someone with your similar experience….$$ WE OFFER A REFERRAL FEE FOR ANYONE REFERRED & HIRED WITH S3! $$
",NA,Other Great Industries,"301 S. Tryon StreetCharlotte, NC 28202",NA,AI Engineer
28,Information Technology,Wells Fargo,"
Job DescriptionAt Wells Fargo, we have one goal: to satisfy our customers’ financial needs and help them achieve their dreams. We’re looking for talented people who will put our customers at the center of everything we do. Join our diverse and inclusive team where you’ll feel valued and inspired to contribute your unique skills and experience. Help us build a better Wells Fargo. It all begins with outstanding talent. It all begins with you. Enterprise Finance & Information Technology offers technology and services that exceed Wells Fargo customers’ expectations and directly enable them to succeed financially. We interact with customers more than 12 billion times a year through in-store, online, ATM, and telephone transactions. We impact customers directly, through systems availability and security, as well as indirectly, through our business partners who offer and deliver a myriad of products and services that meet customers’ financial needs. We provide a competitive advantage for the company through excellence in fundamentals, integrated partnerships, and our talented and engaged team members. DSE Hardware and Virtual Engineering Team are seeking a qualified candidate for a lead Engineer position. The Engineer will lead efforts related to GPU/AI systems certifications and standards. Artificial Intelligence and GPU devices are one of the leading growth spaces for the bank and the need validate and ensure these technologies properly functioning and are configured with the appropriate security standards is the utmost priority for this group. The candidate will work in relation to x86 virtualization technologies and physical server standards. They must have a clear understanding of these technologies current life cycle-status and roadmaps. The Engineer should have a strong grasp of associated technologies such as storage, network, and out of band management devices. Project work will be assigned based on availability and need and will include working with various internal and external business partners to engineer solutions in relation the AI/GPU needs. The engineer will be available to provide 3rd level support their engineered soltions when needed. They will also work solutions as needed with peer teams and related vendors. Duties will include certifying new releases , iterations, patches and vulnerability remediation’s of physical and virtual devices The Candidate will be responsible for completing designs and engineering of HA, Disaster recovery solutions, SAN, Network connectivity specifications and related tools. Identifying and certifying new hardware platforms, managing and documenting migration strategies and providing “how to” documentation for the enterprise, providing solutions for monitoring and assisting in evaluating new virtualization technologies. The Individual should also have experience using capacity and resource management tools. This engineer will be called upon regularly to produce KSH, Perl and python scripts.Required Qualifications
7+ years of operating systems analysis experience, operating systems engineering experience, or a combination of both
5+ years of experience with Linux operating system engineering or automation
5+ years of experience with server infrastructure technology including HP and Dell Server Hardware
2+ years of design, implementation and governance experience with Artificial Intelligence, Natural Language Processing or Machine Learning architecture
Desired Qualifications
Excellent verbal, written, and interpersonal communication skills
Ability to interact with all levels of an organization
6+ years of Linux experience
Knowledge and understanding of technology testing: test engineering
Knowledge and understanding of technical documentation: for technical design documentation used by engineering teams
Quantitative or qualitative data analysis experience
Ability to support a virtual team by working electronically and by phone 
Knowledge and understanding of technology system integration: engineering or platform engineering
Knowledge and understanding of security applications and systems engineering
Experience developing rule-based models, advanced predictive models, and descriptive statistics
Experience with text analytics, predictive modeling, signal processing or optimization techniques
Other Desired Qualifications ESX, Vcenter, OVA/OVF/ISO format virtual appliance deployment skills  OS Windows / Linux  OOB technologies  Powershell  Python  Citrix Xenapp, Xendesktop  HPSA  HPOO VRO VCOPS 
Street AddressAZ-Chandler: 2600 S Price Rd - Chandler, AZIA-West Des Moines: 7001 Westown Pkwy - West Des Moines, IAMN-Minneapolis: 255 2nd Ave S - Minneapolis, MNMO-Saint Louis: 1 N Jefferson Ave - Saint Louis, MONC-Charlotte: 401 S Tryon St - Charlotte, NCNC-Charlotte: 1525 W Wt Harris Blvd - Charlotte, NCNC-Winston Salem: 809 W 4 1/2 St - Winston Salem, NCDisclaimerAll offers for employment with Wells Fargo are contingent upon the candidate having successfully completed a criminal background check. Wells Fargo will consider qualified candidates with criminal histories in a manner consistent with the requirements of applicable local, state and Federal law, including Section 19 of the Federal Deposit Insurance Act.Relevant military experience is considered for veterans and transitioning service men and women.Wells Fargo is an Affirmative Action and Equal Opportunity Employer, Minority/Female/Disabled/Veteran/Gender Identity/Sexual Orientation.
",7+ years,Other Great Industries,"Minneapolis, MN",NA,AI Engineer
29,Engineering,"Discover Financial Services, Inc","

Discover Financial Services is a direct banking and payment services company with one of the most recognized brands in U.S. financial services.  Since its inception in 1986, the company has become one of the largest card issuers in the United States.  The company issues the Discover card, Americas cash rewards and pioneer, and offers private student loans, personal loans, home equity loans, checking and savings accounts and certificates of deposits through its direct banking business.  It operates the Discover Global Network, which is led by three Discover businesses:  Discover network, with millions of retail and cash access locations; PULSE, one of the nation’s leading ATM/debit networks; and Diners Club International, a global payments network with acceptance in more than 185 countries and territories.The Innovation Office – AI Specialist (Guru) is part of the Innovation Office within the Business Technology organization and reports to the Head of Innovation.  This role supports the Innovation Offices AI initiatives and industry assessments, experimentation (including trial and production environments) along with competitive and financial impact analysis. The role requires understanding of Discover business needs and the strategic direction of the Business Technology organization, the Innovation office, and the AI marketplace.  The Guru will build and maintain effective collaboration across the internal and external AI-innovation ecosystem and provide oversight and support for internal and external Innovation Office resources. The internal Innovation team includes:
Business and Business Technology stakeholders, through the Innovation Council and through a broader network of business and BT colleagues
Innovation Team members
The external parties will (possibly) include:
External consulting resources (market data, industry information, etc)
Startups/entrepreneurs
Universities
Public institutions
Research & development institutes
Peer companies
Customers
Responsibilities:
Deliver experiments and collect data on consumers, competitors and market place and consolidate information to guide strategic business decisions for the Innovation Team.
Manage internal teams across DFS leading to a Center of Excellence in AI for Discover.
Provide competitive analysis re AI on various companies market offerings, identify market trends, and guide the development of AI-impact via business plans / financial models (cost-benefit analysis, ROI, etc.)
Research AI and financial services market conditions and assist in conducting feasibility studies to determine market demand for existing and new AI products or services.
Lead meetings regarding AI with external parties and internal business-embedded innovation teams.
Remain fully informed on market trends, other parties researches and implement best practices
Gain understanding of Discovers Innovation Strategy and the existing internal and external Innovation Ecosystem and work to maintain, expand and enable the Innovation community.
Promote a risk-aware culture, ensure efficient and effective risk and compliance management practices by adhering to required standards and processes. 


Skills



Bachelor’s Degree
10+ years’ work experience
Experience with proven programming and coding experience (tensor flow).  Helpful if some market research, industry analysis, competitive analysis, and financial modeling experience




Major in a technology field.  Advanced degree preferred.  Specific Masters-level work in AI in university setting last 3 years.
Technology or Financial Services industry experience preferred.  Some touch to AI, machine learning, neural nets a prerequisite.
Ability to interpret analyze large amounts of data and to multi-task
Intrapreneurship and/or entrepreneurship experience; comfortable with corporate start up culture
Must be proficient in  MS Office (Word, Excel, and PowerPoint)
Exceptional analytical, interpersonal skills, with clear and confident verbal and written communication skills
Excellent presentation skills, capable of effectively presenting to all levels in the organization
Highly organized, capable of effectively managing competing priorities, and delivering results
Promote a risk-aware culture, ensure efficient and effective risk and compliance management practices by adhering to required standards and processes.#LI-KE


We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class.

",3 years,Other Great Industries,"Riverwoods, IL 60015",NA,AI Engineer
30,"Engineering, Information Technology",Amazon.com,"
Come and be part of the Amazon AWS Artificial Intelligence team! We are a cloud AWS service that helps customers run machine learning algorithms on various Big Data systems in a scalable and cost-effective manner. With Machine Learning, businesses now ask our machines to do more than repetitive, strictly-defined tasks. We are taking it one step further and have begun to ask them to not only learn on their own but to also interpret data and report to the customer before they even knew they needed it. It's a step in history for you to be a part of. You will be building a platform that incorporates best practices and runs advanced algorithms at production scale and reliability. In this role, you will be involved designing, architecting, and implementing a data platform for collecting and processing large amounts of data used in the expansion of AWS Artificial Intelligence services.   As a Data Engineer, you should have experience in the architecture of DW solutions for the Enterprise using multiple platforms. You should excel in the design, creation, management, and of extremely large datasets. You should have excellent technical and communication skills to be able to work with data scientists and engineers to determine how best to design the data warehouse for collecting and exposing data that will be used to train machine learning models. You should be proficient with python and data processing scripting. 


Basic Qualifications


A desire to work in a collaborative, intellectually curious environment.
Degree in Computer Science, Engineering, Mathematics, or a related field
Data Warehousing Experience with Oracle, Redshift, PostgreSQL, etc.
Query performance tuning skills
Coding proficiency in at least one modern programming language (Python, Ruby, Java, etc.)
2+ years’ experience in python and common python libraries used for data processing



Preferred Qualifications


Industry experience as a Data Engineer or related specialty (e.g., Software Engineer, Business Intelligence Engineer, Data Scientist) with a track record of manipulating, processing, and extracting value from large datasets.
Experience building/operating highly available, distributed systems of data extraction, ingestion, and processing of large data sets
Experience building data products incrementally and integrating and managing datasets from multiple sources
Experience with large-scale data warehousing and analytics projects, including using AWS technologies – Redshift, S3, EC2, etc.
Linux/UNIX.
Experience with AWS


",2+ years,Other Great Industries,"Seattle, WA",NA,AI Engineer
31,"Engineering, Skilled Labor - Trades","MTEQ, Inc.","
Founded in 1992, MTEQ is a woman-owned business that provides superior Technical Services and Rapid Prototyping support to Government and commercial customers. We have more than 25 years of specialized experience in system development, electronics fabrication, and full-scale tactical prototyping, and systems integration for a variety of defense and commercial applications. MTEQ maintains a high performance culture that emphasizes quality, productivity, process improvement, goal attainment, and the recruitment and development of a superior workforce. 
 
MTEQ is seeking a Machine Learning/AI Engineer with extensive knowledge and strong communication skills to join our team of well qualified, diverse individuals at our Fort Belvoir, VA Office.
 
ESSENTIAL JOB FUNCTIONS AND ESSENTIAL JOB DUTIES:
MTEQ is seeking a highly motivated and creative Machine Learning/AI expert with a passion for design and problem solving. Candidates must be able to communicate effectively with clients and be attentive to customer satisfaction and will be required to work closely with hardware and systems engineers in a small-team environment.
 


•  BS or MS degree in Computer Science with a sepcialization in Machine Learning or AI
• Three-Five (3-5) years’ experience developing AI software in C++ for actual programs/projects (i.e., not academic)
• A strong understanding of big data concepts and knowledge of big data languages/tools
• Strong troubleshooting and debugging skills
• Excellent written and verbal communications skills
• Develop software documentation, including user manuals and release notes
• Must be able to obtain and maintain a secret security clearance, therefore U.S. Citizenship is required
 
DESIRED SKILLS AND EXPERIENCE:
• Experience with other programming languages, e.g. C, C#, Python, Java, Ruby, Torch etc.
• Prior experience in a military work environment
• Cross platform (Linux, Windows) software development experience
• Hardware and software system integration experience/expertise
 
SECURITY CLEARANCE:
Ability to obtain a DoD Security Clearance, i.e. US Citizenship, required. Active DoD Security Clearance preferred.
 
PRIMARY LOCATION: Fort Belvoir, VA
 
SCHEDULE: Full time
MTEQ is an Equal Opportunity/Affirmative Action Employer 
Minorities/Women/Veterans/Disabled
 
ACCESSIBILITY/ACCOMMODATION:
If because of a medical condition or disability, you need a reasonable accommodation for any part of the employment process please send an e-mail to [Click Here to Email Your Resumé] or call (540) 658-2720 Opt 4 and let us know the nature of your request and your contact information.




Are you a returning applicant?
Previous Applicants:
Email:
Password:

If you do not remember your password click here.
Back to Search Results
New Search

//jQuery Calendar
jQuery(document).ready(function($) {
$('.jquerycalendar').datepicker({
altField:'',altFormat:'',appendText:'',buttonImage:'https://staticchp.tbe.taleo.net/chp04/ats/cacheable/R18-02-09-06-01-21-18.A1_prod/img/UIv8/calendar.gif',buttonImageOnly:true,buttonText:'Calendar',changeMonth:true,changeYear:true,closeText:'\'Close\'',constrainInput:true,currentText:'Today',dateFormat:'mm/dd/yy',monthYearDateFormat:'MM/yy',dayNames:['Sunday','Monday','Tuesday','Wednesday','Thursday','Friday','Saturday'],dayNamesShort:['Sunday','Monday','Tuesday','Wednesday','Thursday','Friday','Saturday'],dayNamesMin:['Su','Mo','Tu','We','Th','Fr','Sa'],defaultDate:null,duration:'normal',firstDay:0,gotoCurrent:false,hideIfNoPrevNext:false,isRTL:false,maxDate:null,minDate:null,monthNames:['January','February','March','April','May','June','July','August','September','October','November','December'],monthNamesShort:['Jan','Feb','Mar','Apr','May','Jun','Jul','Aug','Sep','Oct','Nov','Dec'],navigationAsDateFormat:false,nextText:'Next',numberOfMonths:1,prevText:'Previous',shortYearCutoff:'+10',showAnim:'show',showButtonPanel:false,showCurrentAtPos:0,showMonthAfterYear:false,showOn:'button',showOptions:{},showOtherMonths:false,stepMonths:1,yearRange:'1940:2030'});});
",25 years,Other Great Industries,"Fort Belvoir, VA",NA,AI Engineer
32,Engineering,IBM,"
IBM is on the forefront of cloud and the leader of Hybrid Cloud. With virtually all clients expected to adopt some form of cloud strategy, opportunity for personal growth and success in this role is high. IBM continues to reinvent itself as it focuses on client's IT needs that solve real business problems. IBM's Watson cognitive computing is changing all industries. IBM is making a difference in the world by enabling clients to tap into knowledge and insight not available before. Joining IBM's leadership is an awesome opportunity to grow your talents and challenge yourself as IBM continues to transform in the hottest industry today.IBM Watson Group is seeking outstanding AI engineers to spearhead the era of AI for Businesses and act as a team leader helping to provide direction to a group of other engineers.IBM Watson Platform is industry's most comprehensive AI platform in the marketplace, and is leading the industry in delivering value of AI to Enterprises. As an AI senior engineer with IBM Watson, you will be leading a team and working with a world class team of peers at the forefront building products and services that deliver on the promise of AI to solving complex high value business problems. Your focus will be in developing and implementing state of the art reasoning driven machine learning and deep learning techniques which enable the discovery of insights from multitude of data sources. You will develop and implement latest AI techniques to enable dialog systems for conversational interactions with highly scalable ML/DL model training and inferencing. Your productivity will be empowered by a state of the art Watson Cloud Platform infrastructure and a development environment that provides latest AI compute and networking capabilities built to accelerate development and execution of AI techniques.NOTE: Position will be located in either Cambridge, MA; New York, NY; Pittsburgh, PA; or Denver, CO#adaytorefer IWD18HJNA IWD18&A
",NA,Other Great Industries,"Many, LA 71449",NA,AI Engineer
33,Engineering,Aerotek,"
Research, develop and test efficient and scalable Computer Vision / Machine Learning (CV/ML) technologies that will analyze visual imagery, data feeds from video and other UAS sensor sources to detect, classify, and track objects and features. You will collaborate with a small team of engineers and programmers to develop advanced technologies for both internally funded research and client-funded applications. You will have access to the hardware and software tools that you need to effectively design, develop and test CV/ML technologies. You will be contributing to the development of critical technologies that will enable the use of drones for solving real-world problems across a spectrum of commercial markets.* BS/MS in Computer Science or 3+ years of industry and/or research experience in relevant field, or PhD and research experience* Academic or industry experience in: Artificial Intelligence, Computer Vision, Machine Learning, Image Processing* Strong programming skills in C/C++, Open CV, scripting languages, and algorithm development* Experience with CV/ML frameworks and toolkits* The ability to communicate technical information clearly and succinctly to both technical and non-technical teamsPreferred Qualifications* Expertise in classification, segmentation, and feature extraction* Strong understanding of linear algebra, optimization, probability and statistics* Familiarity with the challenges of embedded programming and real-time software development* Experience with MATLAB and Simulink* Experience in parallel computing, GPU programming* Experience with UAS sensor technologies (EO, LIDAR, Ultrasonic, IMU, etc.) Additional EVP: * Interesting work on advanced technologies for emerging aerospace markets to make purposeful change in the world* Opportunities to provide leadership in technology areas of interest* Opportunities to publish papers and participate in industry working groups* Competitive salary with excellent benefits* Flexible work environment About Aerotek:We know that a company's success starts with its employees. We also know that an individual's success starts with the right career opportunity. As a Best of Staffing® Client and Talent leader, Aerotek's people-focused approach yields competitive advantage for our clients and rewarding careers for our contract employees. Since 1983, Aerotek has grown to become a leader in recruiting and staffing services. With more than 250 non-franchised offices, Aerotek's 8,000 internal employees serve more than 300,000 contract employees and 18,000 clients every year. Aerotek is an Allegis Group company, the global leader in talent solutions. Learn more at Aerotek.com.The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please call 888-237-6835 or email accommodation@aerotek .com for other accommodation options. However, if you have questions about this position, please contact the Recruiter located at the bottom of the job posting. The Recruiter is the sole point of contact for questions about this position.
",3+ years,Computer Software,"Hampton, VA",NA,AI Engineer
34,Information Technology,UnitedHealth Group,"

The Senior NLP Scientist / Engineer is a key technical contributor in the design and development of state-of-the-art NLP for medical applications.  The Senior NLP Scientist\Engineer works closely with other NLP specialists, software engineers and subject matter experts on current company technologies, and serves in a technical lead capacity on forward looking projects.  

The successful candidate will have a strong background in Natural Language Processing, Artificial Intelligence with an emphasis on text, Information Extraction / Retrieval, and/or associated principles of knowledge representation and ontological design. The successful candidate will be a forward-thinker comfortable with research and design, but also demonstrate a willingness to support team members with existing systems in customer production environments. Technical aptitude is required, as the successful candidate will be a core contributor on teams responsible for taking ideas from vision through design to implementation.

While the Senior NLP Scientist / Engineer role spans responsibilities in both research and development, position emphasis may be tailored to the skill sets of the successful candidate.

Primary Responsibilities:

Identification, research and development of new technologies to enhance existing company NLP solutions and extend those solutions to new applications and markets 

Analysis and refactoring of existing system architectures, with focus on functionality and performance


Required Qualifications:

Advanced degree in Computational Linguistics, Computer Science, or other Computational discipline 

4+ years of related professional work experience for applicants holding an MS - OR - 2+ years related professional work experience for applicants holding a PhD (significant academic NLP experience will be considered for strong applicants) 

Knowledge of the algorithms and techniques of a computational domain with emphasis on text processing, performance and scalability 

Demonstrated technical aptitude 

Strength and experience with at least one of the following 
C++ 

Java 

C# 

Python



Preferred Qualifications:

Experience with data science or machine learning 

Experience with Drools 

Experience with SQL 

Understanding of morphology, syntax, semantics, discourse and/or pragmatics 

Experience applying NLP in a medical domain 

Language skills in Portuguese or Spanish 

Careers with Optum. Here's the idea. We built an entire organization around one giant objective; make health care work better for everyone. So when it comes to how we use the world's large accumulation of health-related information, or guide health and lifestyle choices or manage pharmacy benefits for millions, our first goal is to leap beyond the status quo and uncover new ways to serve. Optum, part of the UnitedHealth Group family of businesses, brings together some of the greatest minds and most advanced ideas on where health care has to go in order to reach its fullest potential. For you, that means working on high performance teams against sophisticated challenges that matter. Optum, incredible ideas in one incredible company and a singular opportunity to do your life's best work.(sm)


Diversity creates a healthier atmosphere: UnitedHealth Group is an Equal Employment Opportunity/Affirmative Action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.

UnitedHealth Group is a drug-free workplace. Candidates are required to pass a drug test before beginning employment.


Job Keywords: Computational Linguistics, Computer Science, C++, Java, C#, Python, San Diego, CA

",4+ years,Healthcare - Health Services,"San Diego, CA",NA,AI Engineer
